SALESDOCUMENT,SALESOFFICE,SALESGROUP,CUSTOMERPAYMENTTERMS,SHIPPINGCONDITION,SALESDOCUMENTTYPE,SALESORGANIZATION,DISTRIBUTIONCHANNEL,ORGANIZATIONDIVISION,BILLINGCOMPANYCODE,TRANSACTIONCURRENCY,CREATIONDATE,CREATIONTIME,HEADERINCOTERMSCLASSIFICATION,SALESDOCUMENTITEM,PLANT,SHIPPINGPOINT,SALESDOCUMENTITEMCATEGORY,PRODUCT,SOLDTOPARTY,SHIPTOPARTY,BILLTOPARTY,PAYERPARTY,ITEMINCOTERMSCLASSIFICATION,ADDRESSID_SOLDTOPARTY,ADDRESSID_BILLTOPARTY,ADDRESSID_PAYERPARTY,ADDRESSID_SHIPTOPARTY
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,40,4200,4200,TAN,8740034789,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,50,4200,4200,TAN,8641692835,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,60,4200,4200,TAN,2245725454,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,70,4200,4200,TAN,2975810650,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,80,4200,4200,TAN,8018622479,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,90,4200,4200,TAN,4303612083,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,100,4200,4200,TAN,1670388849,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,110,4200,4200,TAN,974382581,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,120,4200,4200,TAN,9941536136,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,130,4200,4200,TAN,5008020017,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,140,4200,4200,TAN,2342360312,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,150,4200,4200,TAN,3570715762,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,160,4200,4200,TAN,7839113792,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,170,4200,4200,TAN,8684882128,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,180,4200,4200,TAN,7085361943,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,190,4200,4200,TAN,8376475702,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,200,4200,4200,TAN,9128436662,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,210,4200,4200,TAN,3302743701,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984700,10,818,95,12,TA,1300,10,10,D015,EUR,02-01-2018,10:25:53,DDP,10,1300,1300,TAN,3324203470,6150891094,220482902,9631419273,6150891094,DDP,3000512735,3000565195,3000512735,3000497154
1984700,10,818,95,12,TA,1300,10,10,D015,EUR,02-01-2018,10:25:53,DDP,20,1300,1300,ZTCH,3324203470,6150891094,220482902,9631419273,6150891094,DDP,3000512735,3000565195,3000512735,3000497154
1984701,10,670,0,1,TA,10,10,10,D011,EUR,02-01-2018,10:27:48,DDP,10,1,1,TAN,86275301,8147595668,8350239060,8147595668,8147595668,DDP,3000345500,3000345500,3000345500,3000345501
1984701,10,670,0,1,TA,10,10,10,D011,EUR,02-01-2018,10:27:48,DDP,20,1,1,TAN,1858190328,8147595668,8350239060,8147595668,8147595668,DDP,3000345500,3000345500,3000345500,3000345501
1984701,10,670,0,1,TA,10,10,10,D011,EUR,02-01-2018,10:27:48,DDP,30,1,1,TAN,1459651674,8147595668,8350239060,8147595668,8147595668,DDP,3000345500,3000345500,3000345500,3000345501
1984701,10,670,0,1,TA,10,10,10,D011,EUR,02-01-2018,10:27:48,DDP,40,1,1,TAN,4809383863,8147595668,8350239060,8147595668,8147595668,DDP,3000345500,3000345500,3000345500,3000345501
1984702,10,767,3,1,TA,10,10,10,D011,EUR,02-01-2018,10:36:28,DDP,10,1,1,TAN,9645854414,9917254824,5060756245,9563271302,9563271302,DDP,3000493997,3000494910,3000494910,3000208181
1984703,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:38:32,FCA,10,4200,4200,TAN,1765836768,8216533608,8216533608,8216533608,8216533608,FCA,3000538105,3000538105,3000538105,3000538105
1984703,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:38:32,FCA,20,4200,4200,TAN,2652129514,8216533608,8216533608,8216533608,8216533608,FCA,3000538105,3000538105,3000538105,3000538105
1984703,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:38:32,FCA,30,4200,4200,TAN,2400482667,8216533608,8216533608,8216533608,8216533608,FCA,3000538105,3000538105,3000538105,3000538105
1984703,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:38:32,FCA,40,4200,4200,TAN,1216384659,8216533608,8216533608,8216533608,8216533608,FCA,3000538105,3000538105,3000538105,3000538105
1984703,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:38:32,FCA,50,4200,4200,TAN,9274493685,8216533608,8216533608,8216533608,8216533608,FCA,3000538105,3000538105,3000538105,3000538105
1984704,10,,EV20,98,ZMUN,2500,10,10,CN10,EUR,02-01-2018,10:33:27,DDP,10,2500,2502,ZMUK,7424133415,1523298405,1523298405,1523298405,1523298405,DDP,3000630881,3000630881,3000630881,3000630881
1984704,10,,EV20,98,ZMUN,2500,10,10,CN10,EUR,02-01-2018,10:33:27,DDP,20,2500,2502,ZMUK,745260461,1523298405,1523298405,1523298405,1523298405,DDP,3000630881,3000630881,3000630881,3000630881
1984705,10,789,32,5,TA,10,10,10,D011,EUR,02-01-2018,10:38:12,FCA,10,1,1,TAN,2281857588,851548071,4660146882,851548071,851548071,FCA,3000208064,3000208064,3000208064,3000452810
1984705,10,789,32,5,TA,10,10,10,D011,EUR,02-01-2018,10:38:12,FCA,20,1,1,TAN,4842853152,851548071,4660146882,851548071,851548071,FCA,3000208064,3000208064,3000208064,3000452810
1984706,10,789,32,5,TA,2000,10,10,PL20,EUR,02-01-2018,10:39:53,FCA,10,2000,2000,TAN,2612386507,851548071,6793048612,851548071,851548071,FCA,3000208064,3000208064,3000208064,3001126889
1984706,10,789,32,5,TA,2000,10,10,PL20,EUR,02-01-2018,10:39:53,FCA,20,2000,2000,TAN,2015327799,851548071,6793048612,851548071,851548071,FCA,3000208064,3000208064,3000208064,3001126889
1984706,10,789,32,5,TA,2000,10,10,PL20,EUR,02-01-2018,10:39:53,FCA,30,2000,2000,TAN,192475132,851548071,6793048612,851548071,851548071,FCA,3000208064,3000208064,3000208064,3001126889
1984707,10,767,3,1,TA,1300,10,10,D015,EUR,02-01-2018,10:39:35,DDP,10,1300,1300,TAN,1625690713,9917254824,5060756245,9563271302,9563271302,DDP,3000493997,3000494910,3000494910,3000208181
1984707,10,767,3,1,TA,1300,10,10,D015,EUR,02-01-2018,10:39:35,DDP,20,1300,1300,TAN,9538877677,9917254824,5060756245,9563271302,9563271302,DDP,3000493997,3000494910,3000494910,3000208181
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,10,1,MUST,ZMUK,8907153524,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,11,1,MUST,ZMUP,3854415486,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,12,1,MUST,ZMUP,1535218867,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,13,1,MUST,ZMUP,1460409548,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,14,1,MUST,ZMUP,5274781979,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,15,1,MUST,ZMUP,6417968433,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,16,1,MUST,ZMUP,1598676124,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,17,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,18,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,20,1,MUST,ZMUK,304863982,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,21,1,MUST,ZMUP,3854415486,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,22,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,30,1,MUST,ZMUK,5096737759,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,31,1,MUST,ZMUP,3854415486,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,32,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,33,1,MUST,ZMUP,1598676124,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,34,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,40,1,MUST,ZMUK,7314207311,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,41,1,MUST,ZMUP,520128474,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,42,1,MUST,ZMUP,6669860577,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,43,1,MUST,ZMUP,1526028478,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,44,1,MUST,ZMUP,9440396708,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,45,1,MUST,ZMUP,1598676124,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,46,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,47,1,MUST,ZMUP,9726954041,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,48,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,50,1,MUST,ZMUK,1692692806,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,51,1,MUST,ZMUP,2949797887,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,52,1,MUST,ZMUP,9440396708,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,53,1,MUST,ZMUP,1526028478,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,54,1,MUST,ZMUP,6669860577,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,55,1,MUST,ZMUP,1598676124,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,56,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,57,1,MUST,ZMUP,9726954041,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,58,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,60,1,MUST,ZMUK,4560842334,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,61,1,MUST,ZMUP,8992077532,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,62,1,MUST,ZMUP,6048462986,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,63,1,MUST,ZMUP,6052052580,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,64,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,65,1,MUST,ZMUP,3755243785,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,66,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,70,1,MUST,ZMUK,2383454732,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,71,1,MUST,ZMUP,8542066099,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,72,1,MUST,ZMUP,5347581643,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,73,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,74,1,MUST,ZMUP,3755243785,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,75,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,80,1,MUST,ZMUK,3676754731,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,81,1,MUST,ZMUP,7945445399,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,82,1,MUST,ZMUP,8351937234,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,83,1,MUST,ZMUP,2501814319,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,84,1,MUST,ZMUP,7652103498,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,85,1,MUST,ZMUP,5268678379,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,86,1,MUST,ZMUP,1598676124,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,87,1,MUST,ZMUP,3755243785,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984708,10,436,C7,95,ZMUN,10,10,10,D011,EUR,02-01-2018,10:39:59,EXW,88,1,MUST,ZMUP,422017490,112798461,112798461,112798461,112798461,EXW,3000208130,3000208130,3000208130,3000208130
1984709,10,219,42,13,TA,700,10,10,PL10,EUR,02-01-2018,10:38:25,DAP,10,700,700,TAN,4358399439,4856602621,4856602621,4856602621,4856602621,DAP,3000363464,3000363464,3000363464,3000363464
1984710,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:42:13,FCA,10,4200,4200,TAN,1221750053,6730549452,6730549452,6730549452,6730549452,FCA,3000538233,3000538233,3000538233,3000538233
1984710,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:42:13,FCA,20,4200,4200,TAN,7715076217,6730549452,6730549452,6730549452,6730549452,FCA,3000538233,3000538233,3000538233,3000538233
1984710,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:42:13,FCA,30,4200,4200,TAN,461550964,6730549452,6730549452,6730549452,6730549452,FCA,3000538233,3000538233,3000538233,3000538233
1984710,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:42:13,FCA,40,4200,4200,TAN,4407107904,6730549452,6730549452,6730549452,6730549452,FCA,3000538233,3000538233,3000538233,3000538233
1984710,10,341,3,5,TA,4200,10,10,DK20,DKK,02-01-2018,10:42:13,FCA,50,4200,4200,TAN,8982340108,6730549452,6730549452,6730549452,6730549452,FCA,3000538233,3000538233,3000538233,3000538233
